symptom,drug,timing,Freq
肩こり痛,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
肩こり痛,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき,7
肩こり痛,イブA錠,その他,1
肩こり痛,新セデス錠,痛くなりそうなとき・熱が出そうなとき,1
肩こり痛,新セデス錠,痛くなったとき・熱が出始めたとき,5
肩こり痛,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,2
肩こり痛,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,4
肩こり痛,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,5
肩こり痛,新セデス錠,その他,1
肩こり痛,セデスハイ,痛くなりそうなとき・熱が出そうなとき,1
肩こり痛,セデスハイ,痛くなったとき・熱が出始めたとき,6
肩こり痛,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,3
肩こり痛,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
肩こり痛,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,8
肩こり痛,セデスハイ,その他,0
肩こり痛,セデスV,痛くなりそうなとき・熱が出そうなとき,4
肩こり痛,セデスV,痛くなったとき・熱が出始めたとき,11
肩こり痛,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,6
肩こり痛,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,11
肩こり痛,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,14
肩こり痛,セデスV,その他,1
肩こり痛,セデスキュア,痛くなりそうなとき・熱が出そうなとき,4
肩こり痛,セデスキュア,痛くなったとき・熱が出始めたとき,7
肩こり痛,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,5
肩こり痛,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
肩こり痛,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,6
肩こり痛,セデスキュア,その他,1
肩こり痛,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,2
肩こり痛,ノーシン錠,痛くなったとき・熱が出始めたとき,8
肩こり痛,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,2
肩こり痛,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,4
肩こり痛,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,15
肩こり痛,ノーシン錠,その他,0
肩こり痛,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,2
肩こり痛,ノーシンピュア,痛くなったとき・熱が出始めたとき,2
肩こり痛,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,2
肩こり痛,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
肩こり痛,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,8
肩こり痛,ノーシンピュア,その他,1
肩こり痛,ナロンエース,痛くなりそうなとき・熱が出そうなとき,0
肩こり痛,ナロンエース,痛くなったとき・熱が出始めたとき,2
肩こり痛,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,2
肩こり痛,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,5
肩こり痛,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,10
肩こり痛,ナロンエース,その他,0
肩こり痛,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,0
肩こり痛,リングルアイビー,痛くなったとき・熱が出始めたとき,1
肩こり痛,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,1
肩こり痛,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,4
肩こり痛,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,8
肩こり痛,リングルアイビー,その他,2
生理痛,バファリンA,痛くなりそうなとき・熱が出そうなとき,4
生理痛,バファリンA,痛くなったとき・熱が出始めたとき,7
生理痛,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき,2
生理痛,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
生理痛,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき,7
生理痛,バファリンA,その他,0
生理痛,イブA錠,痛くなりそうなとき・熱が出そうなとき,10
生理痛,イブA錠,痛くなったとき・熱が出始めたとき,13
生理痛,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき,5
生理痛,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,9
生理痛,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき,16
生理痛,イブA錠,その他,1
生理痛,新セデス錠,痛くなりそうなとき・熱が出そうなとき,4
生理痛,新セデス錠,痛くなったとき・熱が出始めたとき,13
生理痛,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,5
生理痛,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,8
生理痛,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,11
生理痛,新セデス錠,その他,1
生理痛,セデスハイ,痛くなりそうなとき・熱が出そうなとき,6
生理痛,セデスハイ,痛くなったとき・熱が出始めたとき,7
生理痛,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,1
生理痛,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,8
生理痛,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,9
生理痛,セデスハイ,その他,0
生理痛,セデスV,痛くなりそうなとき・熱が出そうなとき,5
生理痛,セデスV,痛くなったとき・熱が出始めたとき,8
生理痛,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,3
生理痛,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,9
生理痛,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,11
生理痛,セデスV,その他,0
生理痛,セデスキュア,痛くなりそうなとき・熱が出そうなとき,13
生理痛,セデスキュア,痛くなったとき・熱が出始めたとき,19
生理痛,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,7
生理痛,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,9
生理痛,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,10
生理痛,セデスキュア,その他,1
生理痛,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,0
生理痛,ノーシン錠,痛くなったとき・熱が出始めたとき,4
生理痛,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,0
生理痛,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
生理痛,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,3
生理痛,ノーシン錠,その他,1
生理痛,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,9
生理痛,ノーシンピュア,痛くなったとき・熱が出始めたとき,11
生理痛,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,3
生理痛,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,12
生理痛,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,15
生理痛,ノーシンピュア,その他,0
生理痛,ナロンエース,痛くなりそうなとき・熱が出そうなとき,9
生理痛,ナロンエース,痛くなったとき・熱が出始めたとき,7
生理痛,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,2
生理痛,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,11
生理痛,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,13
生理痛,ナロンエース,その他,1
生理痛,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,12
生理痛,リングルアイビー,痛くなったとき・熱が出始めたとき,15
生理痛,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,8
生理痛,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,14
生理痛,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,11
生理痛,リングルアイビー,その他,1
歯痛,バファリンA,痛くなりそうなとき・熱が出そうなとき,1
歯痛,バファリンA,痛くなったとき・熱が出始めたとき,5
歯痛,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき,1
歯痛,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
歯痛,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき,12
歯痛,バファリンA,その他,1
歯痛,イブA錠,痛くなりそうなとき・熱が出そうなとき,1
歯痛,イブA錠,痛くなったとき・熱が出始めたとき,6
歯痛,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき,6
歯痛,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
歯痛,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき,10
歯痛,イブA錠,その他,0
歯痛,新セデス錠,痛くなりそうなとき・熱が出そうなとき,0
歯痛,新セデス錠,痛くなったとき・熱が出始めたとき,5
歯痛,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,3
歯痛,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
歯痛,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,6
歯痛,新セデス錠,その他,2
歯痛,セデスハイ,痛くなりそうなとき・熱が出そうなとき,0
歯痛,セデスハイ,痛くなったとき・熱が出始めたとき,6
歯痛,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,1
歯痛,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
歯痛,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,15
歯痛,セデスハイ,その他,0
歯痛,セデスV,痛くなりそうなとき・熱が出そうなとき,4
歯痛,セデスV,痛くなったとき・熱が出始めたとき,11
歯痛,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,8
歯痛,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,7
歯痛,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,11
歯痛,セデスV,その他,2
歯痛,セデスキュア,痛くなりそうなとき・熱が出そうなとき,3
歯痛,セデスキュア,痛くなったとき・熱が出始めたとき,12
歯痛,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,2
歯痛,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,7
歯痛,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,9
歯痛,セデスキュア,その他,2
歯痛,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,2
歯痛,ノーシン錠,痛くなったとき・熱が出始めたとき,7
歯痛,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,6
歯痛,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
歯痛,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,7
歯痛,ノーシン錠,その他,0
歯痛,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,2
歯痛,ノーシンピュア,痛くなったとき・熱が出始めたとき,5
歯痛,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,0
歯痛,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
歯痛,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,11
歯痛,ノーシンピュア,その他,0
歯痛,ナロンエース,痛くなりそうなとき・熱が出そうなとき,1
歯痛,ナロンエース,痛くなったとき・熱が出始めたとき,3
歯痛,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,4
歯痛,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,4
歯痛,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,14
歯痛,ナロンエース,その他,0
歯痛,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,2
歯痛,リングルアイビー,痛くなったとき・熱が出始めたとき,3
歯痛,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,1
歯痛,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
歯痛,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,4
歯痛,リングルアイビー,その他,1
腰痛,バファリンA,痛くなりそうなとき・熱が出そうなとき,0
腰痛,バファリンA,痛くなったとき・熱が出始めたとき,3
腰痛,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき,1
腰痛,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
腰痛,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき,3
腰痛,バファリンA,その他,1
腰痛,イブA錠,痛くなりそうなとき・熱が出そうなとき,1
腰痛,イブA錠,痛くなったとき・熱が出始めたとき,1
腰痛,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき,2
腰痛,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
腰痛,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき,4
腰痛,イブA錠,その他,1
腰痛,新セデス錠,痛くなりそうなとき・熱が出そうなとき,0
腰痛,新セデス錠,痛くなったとき・熱が出始めたとき,2
腰痛,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,1
腰痛,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,5
